Event_Name,Rating,Organization,Content,Speaker,Feedback
Cultural Fest,4,2,2,1,The event was okay
Guest Lecture,3,4,1,1,Could be better
Guest Lecture,4,2,5,4,Excellent organization and great speakers
Tech Fest,5,2,4,3,"Amazing experience, learned a lot"
Tech Fest,5,1,4,1,Excellent organization and great speakers
Tech Fest,5,4,5,1,Loved the content and interaction
Guest Lecture,1,3,5,3,The event was boring
Cultural Fest,4,3,1,2,The event was very informative and engaging
Hackathon,2,3,2,3,The event was boring
Guest Lecture,4,2,5,2,Loved the content and interaction
Guest Lecture,5,2,3,1,Very well managed and insightful
Hackathon,5,3,1,2,The event was very informative and engaging
Cultural Fest,2,4,4,4,Not worth attending
Guest Lecture,4,5,3,5,Excellent organization and great speakers
AI Workshop,5,2,2,5,"Amazing experience, learned a lot"
Cultural Fest,4,2,4,5,The event was very informative and engaging
Guest Lecture,5,3,5,1,Very well managed and insightful
AI Workshop,4,1,3,4,The event was okay
Guest Lecture,5,2,5,1,The event was very informative and engaging
Cultural Fest,1,3,2,5,Audio and seating arrangements were bad
Guest Lecture,1,3,4,1,Not worth attending
Cultural Fest,5,1,2,5,Loved the content and interaction
Tech Fest,2,5,2,2,Poor organization and timing issues
AI Workshop,3,5,5,4,Could be better
AI Workshop,1,4,3,4,Not worth attending
Cultural Fest,1,2,1,3,The event was boring
Guest Lecture,4,2,1,1,"Amazing experience, learned a lot"
Tech Fest,3,1,3,1,The event was okay
Cultural Fest,5,5,2,5,Loved the content and interaction
Hackathon,5,2,1,1,Excellent organization and great speakers
Hackathon,4,4,1,1,"It was fine, nothing special"
Cultural Fest,4,2,2,5,Loved the content and interaction
AI Workshop,4,4,2,1,Very well managed and insightful
Tech Fest,4,5,1,1,"Amazing experience, learned a lot"
Hackathon,1,4,4,2,The speaker was not engaging
Hackathon,1,1,4,3,Poor organization and timing issues
Hackathon,2,5,4,2,The event was boring
Guest Lecture,4,5,1,3,Excellent organization and great speakers
Guest Lecture,5,5,2,1,"Amazing experience, learned a lot"
Tech Fest,1,5,1,2,Poor organization and timing issues
Guest Lecture,4,5,1,5,"Amazing experience, learned a lot"
AI Workshop,5,2,3,2,"Amazing experience, learned a lot"
Hackathon,5,3,1,1,Excellent organization and great speakers
Tech Fest,4,5,2,5,"Amazing experience, learned a lot"
Cultural Fest,4,3,3,2,Loved the content and interaction
Guest Lecture,5,5,1,5,"Amazing experience, learned a lot"
AI Workshop,4,1,1,5,The event was very informative and engaging
AI Workshop,4,2,3,5,Loved the content and interaction
Hackathon,4,3,1,1,The event was very informative and engaging
Cultural Fest,5,4,5,4,Excellent organization and great speakers
Cultural Fest,4,5,1,3,The event was very informative and engaging
Cultural Fest,5,1,3,3,Excellent organization and great speakers
Cultural Fest,2,2,1,3,Poor organization and timing issues
Cultural Fest,3,2,2,4,Decent event overall
Cultural Fest,5,3,2,1,Loved the content and interaction
Cultural Fest,5,2,4,3,The event was very informative and engaging
Tech Fest,4,2,4,3,Excellent organization and great speakers
AI Workshop,5,5,4,5,The event was very informative and engaging
AI Workshop,4,2,5,3,The event was very informative and engaging
AI Workshop,5,3,4,5,"Amazing experience, learned a lot"
Guest Lecture,2,2,3,1,Poor organization and timing issues
AI Workshop,3,4,1,3,The event was okay
Guest Lecture,4,3,4,3,The event was okay
Cultural Fest,4,4,4,2,Loved the content and interaction
Guest Lecture,4,1,3,3,"It was fine, nothing special"
Hackathon,5,4,4,2,"Amazing experience, learned a lot"
AI Workshop,4,5,5,3,Excellent organization and great speakers
Cultural Fest,5,2,2,1,Excellent organization and great speakers
Hackathon,4,4,5,2,Very well managed and insightful
